Word;Occurences;Themes
mountain;2143;
pack;2141;
feed;2130;
sounds;2129;
sold;2127;
ohhh;2124;
spin;2124;
strength;2121;confidence
underneath;2116;
fate;2114;serenity hope
imagine;2109;
crew;2108;
spinning;2107;
worst;2104;sadness pain
seat;2091;
stage;2089;
filled;2088;
zone;2088;
bottles;2084;
twenty;2083;
gang;2081;
john;2081;
acting;2076;
faster;2075;passion
rhyme;2075;passion happiness
beating;2069;hapiness love
sunday;2069;
book;2065;
plus;2064;
thug;2056;
speed;2052;
changing;2049;
lick;2048;
early;2038;
fallin;2034;
bite;2033;
flip;2033;
sittin;2029;
keeping;2027;
glory;2024;
gucci;2024;
staring;2016;
tellin;2015;
santa;2013;
lately;2012;
shoulder;2006;
pocket;2004;
history;1999;
happens;1997;
mercy;1993;
keys;1990;
wondering;1989;
thunder;1988;
soft;1987;
chasing;1980;
fair;1978;
wrote;1978;
candy;1976;
written;1972;
machine;1969;
return;1969;
shouldn;1967;
callin;1958;
worse;1958;
sorrow;1956;sadness
jeans;1953;
pictures;1942;
bump;1939;
doctor;1939;pain
regret;1938;sadness pain
weather;1937;
drown;1936;
drug;1935;
voices;1929;
disappear;1925;
suck;1924;pain
legs;1921;
cent;1920;
tall;1919;
noise;1918;
motherfuckin;1916;
doors;1915;
spirit;1911;
class;1910;
sent;1909;
wonderful;1908;happiness love hope
climb;1907;
drugs;1907;
battle;1903;
hurry;1895;
built;1892;
police;1892;
plans;1890;
amazing;1882;
growing;1880;
birds;1879;
steady;1878;
rose;1876;
chill;1875;serenity happiness
drinking;1874;
choice;1868;
unless;1865;
slide;1861;
bend;1857;
surrender;1857;serenity love
quiet;1856;
vision;1855;
lean;1853;
dude;1841;
twist;1840;
forgot;1839;
pressure;1838;
park;1836;
teach;1836;confidence
grace;1834;
beneath;1831;
rocks;1831;passion
pour;1830;
east;1828;
fears;1828;fear
cares;1821;love passion
message;1817;
calls;1813;
listening;1812;
wash;1809;
asleep;1806;
lived;1803;
secrets;1802;fear pain
brings;1799;
remind;1798;
bells;1795;
california;1795;serenity
dough;1795;
crash;1793;mad pain
surprise;1793;
test;1793;
older;1791;confidence
beach;1790;
bound;1789;
blowing;1786;anger
plane;1786;serenity hope
hiding;1783;
danger;1780;pain fear
below;1779;
wishing;1777;
america;1776;hope
highway;1776;
dangerous;1775;fear
givin;1775;
enemy;1773;pain fear
hollywood;1772;hope
hustle;1772;fear anger
crib;1765;
hungry;1765;passion confusion
either;1759;
fantasy;1758;serenity love hope
dancin;1756;
knife;1755;anger
deeper;1751;
breaks;1749;sadnesse
distance;1744;
others;1744;
building;1743;serenity hope
wheel;1743;
killed;1741;
groove;1739;
pimp;1739;
american;1737;
saved;1736;
closed;1732;
fallen;1732;sadness pain
swing;1732;
nasty;1731;pain
bullet;1730;
gives;1730;
pleasure;1730;happiness
hero;1729;love
hill;1729;
spell;1723;
pulled;1720;
starting;1720;
beginning;1717;hope
heads;1716;
chris;1715;
happiness;1714;hapiness
bread;1710;
grave;1710;sadness
flowers;1708;
heal;1708;condidence
poison;1705;pain fear
weekend;1705;
teeth;1703;
glow;1700;serenity happiness
smokin;1699;
reality;1698;
whatcha;1698;
cops;1696;
merry;1693;serenity
bank;1691;
spread;1687;
signs;1684;
table;1683;
drama;1678;sadness anger
shows;1678;
laid;1673;
click;1672;
exactly;1670;
fever;1670;passion love
kissed;1669;
rough;1669;
missed;1668;
busy;1666;
taught;1666;
fault;1664;
stood;1663;
matters;1660;
forth;1659;
ending;1657;
changes;1655;
whats;1652;
calm;1649;serenity
questions;1649;
whisper;1649;
rocking;1648;passion
watchin;1647;
coast;1645;
flames;1642;passion
tied;1640;pain anger
kisses;1639;passion love
reasons;1639;
begun;1638;
misery;1635;
smoking;1633;
trick;1633;
colors;1630;
hits;1630;
trippin;1629;confusion
waves;1629;
birthday;1627;happiness
eminem;1624;
actin;1622;
famous;1621;
passion;1617;passion
rising;1615;hope
roof;1613;
store;1613;
decide;1612;confidence
foot;1611;
burned;1610;mad pain
difference;1610;confusion
letter;1610;
soldier;1610;
destiny;1608;serenity
dressed;1607;
fading;1606;sadness
color;1601;hope
fools;1600;
flight;1599;serenity hope
silent;1594;
threw;1589;
level;1587;
pants;1583;
greatest;1580;hope
likes;1579;
silly;1574;
admit;1573;
crown;1572;
shirt;1572;
dollars;1571;
lovely;1571;love happiness hope
evening;1568;
trap;1561;
judge;1560;
lane;1560;
waited;1559;
ooooh;1558;
scars;1558;
ballin;1556;
cloud;1555;
nose;1552;
animal;1551;
heartbeat;1550;
killer;1550;
wasting;1550;
suddenly;1549;
tune;1547;
numb;1545;
action;1542;
passing;1542;
confused;1536;confusion
passed;1536;
friday;1533;
bullshit;1532;
cryin;1532;
path;1525;
drum;1524;sadness anger
saturday;1524;
ship;1524;
drag;1521;
workin;1513;
rings;1512;
rhymes;1510;
search;1507;
prayer;1505;
mark;1500;
jealous;1496;
monkey;1496;
burns;1494;sadness pain
celebrate;1494;
nicki;1494;
attack;1489;
final;1487;
notice;1487;
pound;1486;
minutes;1482;
shines;1477;serenity happiness
shaking;1476;
brothers;1475;serenity
grey;1473;sadness pain fear
cost;1469;pain 
twisted;1469;
excuse;1468;serenity confidence
leavin;1464;
champagne;1463;
stole;1460;
cheap;1458;
meaning;1457;
boat;1456;
motherfuckers;1455;
akon;1452;
bleeding;1452;
freaky;1446;
person;1445;
crawl;1438;
showed;1438;
darlin;1437;love happiness hope
smiling;1436;love happiness hope
sean;1435;
promises;1434;confidence
buck;1432;
swallow;1431;
bill;1430;
wanting;1430;
eight;1429;
romance;1429;love happiness hope
theres;1429;
begging;1428;
ourselves;1427;
thin;1427;
nature;1426;
join;1425;
list;1425;
master;1423;confidence
cries;1422;
funky;1421;
liar;1420;pain
yall;1419;
hush;1416;anger
bell;1414;
pump;1412;
wrist;1411;
raised;1410;hope
breeze;1408;
ease;1407;
blowin;1406;
beef;1401;
louder;1398;
monster;1397;sadness pain
torn;1397;
company;1395;
lifetime;1394;
food;1392;
moonlight;1391;
dime;1388;
grass;1387;
church;1386;
thick;1386;
boyfriend;1385;
ugly;1384;pain anger mad
windows;1382;
page;1381;
motion;1380;
thru;1380;
wearing;1379;
bitter;1378;pain anger mad
album;1376;
blast;1375;
swim;1375;confusion
remain;1372;
truck;1372;
common;1371;
veins;1371;
daughter;1365;love serenity
homies;1364;
london;1363;passion
mystery;1362;love
beast;1361;
course;1360;
rappers;1360;
hotel;1358;passion
joke;1358;
gift;1356;love
brave;1354;confidence
wrapped;1351;
jail;1346;pain
stopped;1346;
watched;1344;
answers;1342;
precious;1341;love
melody;1340;passion love
happening;1339;
limit;1339;
situation;1339;
wrap;1339;
honest;1336;confidence
horse;1335;
johnny;1335;
system;1335;
desert;1333;
grand;1330;
faded;1329;
proof;1327;
sees;1325;
bags;1324;
cruel;1322;sadness pain
grew;1319;
moved;1319;
holdin;1317;
papa;1317;
anytime;1316;
punk;1313;
benz;1310;
kissing;1310;love passion
souls;1310;
hips;1309;
mike;1306;
endless;1304;
pulling;1303;
sail;1302;
serious;1302;
ears;1301;
promised;1301;
bear;1300;
bringing;1299;
dogs;1298;
cherry;1297;
barely;1296;
hangin;1296;
kitchen;1296;
mornin;1295;
runs;1295;
bury;1294;
lied;1293;
mood;1293;
guilty;1289;
chicks;1286;
finish;1286;
nation;1286;
circle;1285;
flesh;1285;
michael;1283;
folks;1282;
swag;1282;
wheels;1282;
reaching;1281;
goodnight;1280;
spark;1280;
flash;1278;
grip;1276;
headed;1274;
liquor;1274;
pure;1273;
force;1269;confidence
shady;1269;
blows;1268;
haha;1268;
shooting;1268;
outro;1266;
underground;1266;
bless;1265;
roses;1264;
stayed;1263;
bodies;1262;
breakin;1262;
begins;1260;
impossible;1260;confusion
lightning;1259;
miracle;1259;
expect;1257;
burnin;1255;confusion pain
ceiling;1254;
shop;1254;
pushing;1253;
hallelujah;1251;serenity
counting;1249;
guide;1249;serenity
release;1248;
thanks;1246;serenity
wise;1246;confidence
settle;1242;
forgotten;1240;confidence
singin;1239;
sippin;1239;
cream;1238;
mission;1236;
thinks;1236;love
refr;1235;
tells;1235;
thrill;1235;
youth;1234;
throwing;1233;
shakin;1231;
touched;1231;
comfort;1230;
spoken;1230;
blew;1229;
halo;1227;
revolution;1227;
player;1226;
match;1225;
began;1224;
steel;1224;
direction;1223;
disguise;1220;
heels;1220;
drowning;1218;
trunk;1218;
christ;1217;
drinks;1217;
throat;1216;
date;1215;
feat;1215;
innocent;1215;hope love
mile;1214;
trapped;1212;
lemme;1210;
generation;1208;
cards;1206;
suicide;1206;
tick;1205;
satisfied;1204;happiness
havin;1203;
screamin;1203;
undone;1203;
conversation;1202;happiness
