Word;Occurences;Themes
drown;1936;pain
drug;1935;sadness pain
voices;1929;hope
disappear;1925;sadness
suck;1924;pain passion
legs;1921;passion
cent;1920;happiness
tall;1919;confidence
noise;1918; confusion
motherfuckin;1916;happiness
doors;1915;
spirit;1911;
class;1910;
sent;1909;
wonderful;1908;happiness love hope
climb;1907;confidence
drugs;1907;sadness pain
battle;1903;anger pain
hurry;1895;confusion
built;1892;hope
police;1892;
plans;1890;
amazing;1882;
growing;1880;hope
birds;1879;passion love
steady;1878;confidence
rose;1876;love passion
chill;1875;serenity happiness
drinking;1874;happiness
choice;1868;hope serenity
unless;1865;
slide;1861;
bend;1857;confusion fear
surrender;1857;serenity love
quiet;1856;fear
vision;1855;hope
lean;1853;sadness
dude;1841;love happiness
twist;1840;confusion happiness
forgot;1839;sadness
pressure;1838;fear passion
park;1836;
teach;1836;confidence passion
grace;1834;hope love
beneath;1831;sadness
rocks;1831;passion
pour;1830;madness
east;1828;
fears;1828;fear
cares;1821;love passion
message;1817;hope love
calls;1813;hope
listening;1812;
wash;1809;
asleep;1806;confusion
lived;1803;sadness
secrets;1802;fear confusion
brings;1799;hope love
remind;1798;passion love
bells;1795;happiness
california;1795;serenity happiness
dough;1795;happiness passion
crash;1793;madness pain
surprise;1793;happiness love passion
test;1793;
older;1791;confidence
beach;1790;serenity happiness
bound;1789;confusion
blowing;1786;anger pain
plane;1786;serenity hope
hiding;1783;fear
danger;1780;pain fear
anger;1;anger fear
below;1779;
wishing;1777;hope
america;1776;hope
highway;1776;
dangerous;1775;fear
givin;1775;hope
enemy;1773;pain fear
hollywood;1772;hope happiness passion
hustle;1772;fear anger
crib;1765;serenity
hungry;1765;passion confusion
either;1759;
fantasy;1758;serenity love hope
dancin;1756;
knife;1755;anger pain
deeper;1751;confusion
breaks;1749;sadness pain
distance;1744;sadness
others;1744;
building;1743;serenity hope
wheel;1743;
killed;1741;sadness pain
groove;1739;happiness
pimp;1739;passion
american;1737;
saved;1736;
closed;1732;
fallen;1732;sadness pain
swing;1732;happiness
nasty;1731;madness confusion passion
bullet;1730; pain
gives;1730;
pleasure;1730;happiness
hero;1729;love hope
hill;1729;hope
spell;1723;passion
pulled;1720;pain
starting;1720;hope
beginning;1717;hope
heads;1716;
chris;1715;
happiness;1714;happiness
bread;1710;happiness
grave;1710;sadness
flowers;1708;hope serenity
heal;1708;confidence hope serenity
poison;1705;pain fear
weekend;1705;happiness
teeth;1703;
glow;1700;serenity happiness
smokin;1699;
reality;1698;
whatcha;1698;
cops;1696;
merry;1693;serenity
bank;1691;
spread;1687;
signs;1684;
